Date,"Views","Reach","Reposts","Followers"
"September 1, 2026",33,0,0,
"August 31, 2026",41,1,0,81
"August 30, 2026",16,4,0,81
"August 29, 2026",55,8,0,81
"August 28, 2026",15,8,0,82
"August 27, 2026",49,5,0,81
"August 26, 2026",5,9,0,81
"August 25, 2026",17,2,0,81
"August 24, 2026",4,3,0,80
"August 23, 2026",8,2,0,80
"August 22, 2026",77,4,0,80
"August 21, 2026",29,15,0,80
"August 20, 2026",17,2,0,80
"August 19, 2026",145,3,1,80
"August 18, 2026",5,118,1,80
"August 17, 2026",11,0,0,81
"August 16, 2026",32,2,0,79
"August 15, 2026",10,4,0,77
"August 14, 2026",55,4,0,76
"August 13, 2026",25,10,0,75
"August 12, 2026",24,1,0,75
"August 11, 2026",9,0,0,75
"August 10, 2026",4,2,0,74
"August 9, 2026",3,2,0,74
"August 8, 2026",12,2,0,74
"August 7, 2026",42,4,0,74
"August 6, 2026",3,10,0,74
"August 5, 2026",26,1,0,75
"August 4, 2026",175,10,0,75
"August 3, 2026",40,134,0,75
"August 2, 2026",8,3,0,75
"August 1, 2026",14,4,0,75
