Time Posted,"Image URL","Instagram Post","Caption","Media Type (Image, Video, Carousel)","Engagement Rate","Engagements","Followers","Views","Reach","Likes","Comments","Saves","Shares","Reposts","Linkin.bio"
"Jul 27, 2026 01:33:12 PM","https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/759373134_17897545455560543_6571683548968018871_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=102&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=8_lgAIHba7wQ7kNvwEM65b4&_nc_oc=AdpzK34wUDHm542jD7Vtew_qGt5vIwUVTi8CMMsdwClFRPbYD928umY_fu8M6zqRbzM&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=JdfKC8hntSZwnSOLqCOBvg&_nc_tpa=Q5bMBQG5BWPZmTUJD2fCVz7l-aP4tzTKJIglatXO4_aG2qL_kAX49CeDdJztKmfzbFRmqASWoyZzYJ5e&oh=00_AQHGpiQmUj-sacYMpsArXvKUcc4YY-ZyyjNxScyHj22nrw&oe=6A727AF9","https://www.instagram.com/reel/DbTnKxvIJuw/","The best part of Austin wasn’t the agenda. It was what people were willing to say once they realized who else was in the room.⁠
⁠
We’re doing it again on August 11.⁠
⁠
Thank you to Tecla for helping make these gatherings possible.⁠
⁠
Request an invite through the link in bio.⁠
⁠
#GILDAIForum #AILeadership #EngineeringLeadership #AustinTech #TechLeaders","video","2.6%","2","74","94","78","2",,,,"1",
"Jul 24, 2026 04:51:06 PM","https://scontent-iad3-2.cdninstagram.com/v/t51.82787-15/751348715_17897017599560543_3508525918107381322_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=103&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=G3WcBguJ2coQ7kNvwETzFP_&_nc_oc=Adpo7U112WR4b9Ys8aUgCpSMspygu6RQ18KhkLWuu5PiLxDZvSl5jMj9boCYufjGzmE&_nc_zt=23&_nc_ht=scontent-iad3-2.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=nWNCX4ThG7I1xqz_zDlG2w&_nc_tpa=Q5bMBQEx4CMBDHP3DH5M1oGHT4Iq9bA7HA6NoNVLi5YOGxPAO09LQI9KH8sDi7t-aRV_trRrfE_1DAQf&oh=00_AQGxWubWr5QXik03jEvc7NjtYEICuEAauitEMCCBBzGOiQ&oe=6A726EFC","https://www.instagram.com/reel/DbMPbsKj9g4/","Miami, what a first night.⁠
⁠
Our first GILD AI Forum in the city brought together an incredible group of senior AI and engineering leaders for real conversation, new connections, and the start of something exciting.⁠
⁠
Thank you to everyone who joined us, and to @tecla.io for partnering with us to bring it to life.⁠
⁠
#GILD #MiamiTech #AILeadership #EngineeringLeaders #CommunityBuilding","video","3.3%","1","72","40","30","1",,,,"0",
"Jul 24, 2026 03:48:09 PM","https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/753540852_17897011665560543_3514534994729257655_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=107&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=JVRFCSkcLDEQ7kNvwHZtpD_&_nc_oc=AdrsukNoOJEvFU5if9PZVIJWFfko_NZSQnhkZTpQBgp8t7-9X_WGyFkfWQF109Bm1as&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=AEQ6tj4EAAAA&_nc_gid=7tEE7In-zYi_fi6RtANp5w&_nc_tpa=Q5bMBQG_fW39XPSnZ9LMq3vFjHXtiONmAorEezNdtTV5OErIAy9Ta3RZhd_v6hq5nCvNewhi-OJWDQNC&oh=00_AQADdlur-kaWW2ETGQSvfz3nYzP36AG74x-_XDY7u1xW5g&oe=6A69A1E6","https://www.instagram.com/reel/DbMIUL5Fxrk/","Miami, what a first night.⁠
⁠
Our first GILD AI Forum in the city brought together an incredible group of senior AI and engineering leaders for real conversation, new connections, and the start of something exciting.⁠
⁠
Thank you to everyone who joined us, and to @tecla.io for partnering with us to bring it to life.⁠
⁠
#GILD #MiamiTech #AILeadership #EngineeringLeaders #CommunityBuilding","video","0.0%",,"72","5","1",,,,,"0",
