Time Posted,"Image URL","Caption","Media Type (Image, Video, Carousel)","Engagement Rate","Engagements","Comments","Likes","Views","Saves","Reach","Shares","Skip Rate","Reposts","Crossposted Views","Facebook Views","Instagram Post","Product Type"
"Jun 18, 2026 06:48:05 PM","https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/724091899_17890370187560543_8049074106250164940_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=104&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=LRkglcIY78oQ7kNvwGHRkbl&_nc_oc=Adq5EL_nZ8z4C3Msp5CI67VWEJLytW9NcjjT1elh-SoqATDzUbrnFLzaAyCzy9L9oyI&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=ANQ71j8EAAAA&_nc_gid=kEHUXlvn8UlEQUGiVXs_3A&_nc_tpa=Q5bMBQFCA5MhI05UvSbKQ9I8ufm1IrD3YSR08CBO9aKKpo8Mq7BIPNX4A0uAw2qgVkuqHZOQRSls1WOZ&oh=00_AQC5vmm0cs1Si5lYIzo4xNgm2IG_oBECiUcZhLnwesIP1Q&oe=6A499F69","Tuesday night in Dallas, the room didn't need prompting.⁠
⁠
Senior AI and engineering leaders, present and open, trading what they're seeing as AI reshapes their teams. And in between, the real thing took shape: trust between peers navigating the same change.⁠
⁠
Thank you to Anand Arivukkarasu for setting the tone with the ""Intelligence Lens,"" and to our partner @tecla.io for making the night happen.⁠
⁠
Dallas, we're just getting started.⁠
⁠
#GILD #AILeadership #EngineeringLeadership #AICommunity","video","2.5%","3","0","3","138","0","122","0","76%",,,,"https://www.instagram.com/reel/DZvwOnxAtGP/","reels"
"Jun 12, 2026 12:48:08 PM","https://scontent-iad6-1.cdninstagram.com/v/t51.71878-15/723238494_1263368078970615_6717929043055451245_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=WU6FJ18o57kQ7kNvwGfZvBW&_nc_oc=Adrq5Rx3dbYLmsvMyOUkqRhEv00Jdlrjx9bCJNYafeNMB3kknz28mXi2Yvu89SRuTSM&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=ANQ71j8EAAAA&_nc_gid=tqjDXCG-F1dnEEpPK3cjCg&_nc_tpa=Q5bMBQEeZNZCTjMH4xzHjTJ743nNw1uHbPo4XqiWLmfMp_a1sQX9Eq4ViSbVY7jHw6FInjbI9sARjiYw&oh=00_AQAHTvXb6M6LGuh1eWUyOKlWXrmYDx3TryQ7HyuS3XACSQ&oe=6A49A4D7","More GILD gatherings are coming this month and beyond.⁠
⁠
Designed for AI leaders and senior engineering leaders, our forums create space for sharper conversations about what it actually takes to build, deploy, and scale AI inside companies.⁠
⁠
Browse the upcoming GILD calendar to see what’s ahead, and request details when a gathering feels relevant to your work.⁠
⁠
Link in bio.⁠
⁠
#AILeadership #EngineeringLeadership #EnterpriseAI #GILDCommunity","video","3.1%","2","0","2","80","0","64","0","89%",,,,"https://www.instagram.com/reel/DZfqP3bAgJ6/","reels"
"Jun 5, 2026 12:18:03 PM","https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/716986536_17888210868560543_8314390265242065649_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=1Rh3o9BxA8cQ7kNvwHgaW5d&_nc_oc=AdroIuWJfkk2KU5KFDQjyxGhs9s2ecCg1-v41x2vSCuVHLVYsO6WoebGWOmyeawKBxw&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=ANQ71j8EAAAA&_nc_gid=HNYCXzxJ3566KMcsVGB9hQ&_nc_tpa=Q5bMBQE0NfQo_OkN09jeZe0EP3u4-PX_A_uoj-YdPACMdaVtX2tjRj2rQ1L-8gFNVU1BNSGf6iBL5NF0&oh=00_AQAI4d6VePsUvxWdWmR9dU0jMo1fQd2D5dCQ3jL5xFMzMQ&oe=6A499ADF","Inside companies, AI adoption is a moving target.⁠
⁠
In this clip, Raphael Varieras, SVP of AI & Data at Zello, shares how his team guides internal teams through what is possible now, what may be possible soon, and how to build around the parts of work that are still uniquely human.⁠
⁠
Episode 7 of the GILD Podcast is out now. Link in bio.⁠","video","8.6%","3","0","3","41","0","35","0","86%",,,,"https://www.instagram.com/reel/DZNlPl1jJdF/","reels"
"Jun 4, 2026 09:03:11 PM","https://scontent-iad3-1.cdninstagram.com/v/t51.82787-15/716858742_17888092359560543_5680509490195350947_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=pkpI7Mk5ZD8Q7kNvwEcI9h8&_nc_oc=AdqEOnN1EqT10S9A4Sy0s2vDHoI6nyjrOdoAFXNLLfJTe82C6U0hEGfg2YONZjd9z2w&_nc_zt=23&_nc_ht=scontent-iad3-1.cdninstagram.com&edm=ANQ71j8EAAAA&_nc_gid=_9NbsghtyRYc-FGCgkWaTA&_nc_tpa=Q5bMBQHsZjmWv9TGXZB93txJ6KLPGX01fesKJBHH_yLG8MOl5oj9W22o_9Q7UMMRQOMf20OUsFeYGHvW&oh=00_AQC8fUq5H-GMfWjJUPwtKDbsKuil54Psjbeb3w3OfTazbw&oe=6A49AB43","AI adoption is not just about what can be automated.⁠
⁠
It is about knowing where automation actually belongs.⁠
⁠
In this clip, Gino Ferrand uses hiring to explore where AI creates leverage, and where trust, judgment, and human connection still matter most.⁠
⁠
Episode 7 of the GILD Podcast with Raphael Varieras is out now.⁠
⁠
Link in bio.⁠
⁠
#GILDPodcast #AILeadership #EnterpriseAI #FutureOfWork #AIInBusiness","video","1.3%","2","0","2","167","0","153","0","80%",,,,"https://www.instagram.com/reel/DZL8iwWDL1M/","reels"
"Jun 2, 2026 06:48:07 PM","https://scontent-iad6-1.cdninstagram.com/v/t51.82787-15/713623746_17887756500560543_8874742577692654098_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=100&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=l5nPQ8zRhBMQ7kNvwHX0sE-&_nc_oc=Ado-IQ9j8wOvocKDmEtnNwHAv-nh8jec6aKrguu4HYoEiQdpqX87cdAje0dW6199N58&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=ANQ71j8EAAAA&_nc_gid=DKFyvvELn49Afb49Df7B5g&_nc_tpa=Q5bMBQGuS0kbXhY3yXRj25251Da6dcoF_BkRzVjeiOAMPLiUoDLPCBA76iVTXvfX5vxBRJhDXjxCSZug&oh=00_AQAAn3ulkHtnzZ5aFp2FfmZKvJ8anaty3QcH_2jEKgP8tw&oe=6A499A06","What does AI adoption actually look like inside a company?⁠
⁠
Tomorrow on the GILD Podcast, Gino Ferrand sits down with Raphael Varieras, SVP of AI & Data at Zello, to talk about shipping AI at scale, from internal adoption to customer-facing products and security risks.⁠
⁠
In this clip, Raphael shares why AI security needs to be part of the conversation early.⁠
⁠
Episode 7 drops tomorrow.⁠
⁠
#GILDPodcast #AI #TechLeadership #AISecurity","video","4.1%","5","0","5","146","0","123","0","69%",,,,"https://www.instagram.com/reel/DZGjfucEai_/","reels"
"Jun 1, 2026 06:24:04 PM","https://scontent-iad6-1.cdninstagram.com/v/t51.71878-15/706488752_973472785319980_60767162827619032_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=106&ccb=7-5&_nc_sid=18de74&efg=eyJlZmdfdGFnIjoiQ0xJUFMuYmVzdF9pbWFnZV91cmxnZW4uQzMifQ%3D%3D&_nc_ohc=ZyMnceknzk0Q7kNvwGY15Sb&_nc_oc=AdqAKGZQ1UZuooFqjY7dMlmhpKf8lgsHOfDFS7ZN_WAr109Tmrv7cLjQj-DlzNyzUt8&_nc_zt=23&_nc_ht=scontent-iad6-1.cdninstagram.com&edm=ANQ71j8EAAAA&_nc_gid=gZ9GTx7lf8u7h3Y4Y0Z7TA&_nc_tpa=Q5bMBQGZie0Mzdvtu_xDJoMZPYArHt_CBXWrZ9RWY4E4I30B96BAhsQfBOXBayR0mMk7YLAoB9717mBr&oh=00_AQDBaRVh2w8_yhxjkoISS4k3LQxzYwX62VUHlRonpyDLig&oe=6A49BF82","Austin. Last week.⁠
⁠
A small room of CTOs and senior technical leaders. One honest conversation about where AI is actually taking technical leadership right now.⁠
⁠
Grateful for the openness in that room. And to our partners at @tecla.io for making it possible.⁠
⁠
More to come.⁠
⁠
#GILD #AIStrategy #AustinTech","video","2.4%","3","1","2","151","0","123","0","91%",,,,"https://www.instagram.com/reel/DZD78dQDMI5/","reels"
